Deaths,Confirmed,Year,Month,Country_Name,Death_Rate,yyyy_mm
0,6,2020,5,United States Virgin Islands,0.0,2020/05
0,7,2020,1,United States of America,0.0,2020/01
0,55,2020,2,United States of America,0.0,2020/02
2398,140578,2020,3,United States of America,0.0171,2020/03
50030,863334,2020,4,United States of America,0.0579,2020/04
17461,241900,2020,5,United States of America,0.0722,2020/05
0,309,2020,3,Uruguay,0.0,2020/03
15,316,2020,4,Uruguay,0.0475,2020/04
2,59,2020,5,Uruguay,0.0339,2020/05
2,149,2020,3,Uzbekistan,0.0134,2020/03
7,1882,2020,4,Uzbekistan,0.0037,2020/04
1,305,2020,5,Uzbekistan,0.0033,2020/05
3,129,2020,3,Venezuela (Bolivarian Republic of),0.0233,2020/03
7,200,2020,4,Venezuela (Bolivarian Republic of),0.035,2020/04
0,52,2020,5,Venezuela (Bolivarian Republic of),0.0,2020/05
0,5,2020,1,Viet Nam,0.0,2020/01
0,11,2020,2,Viet Nam,0.0,2020/02
0,187,2020,3,Viet Nam,0.0,2020/03
0,67,2020,4,Viet Nam,0.0,2020/04
0,18,2020,5,Viet Nam,0.0,2020/05
0,6,2020,4,Yemen,0.0,2020/04
8,30,2020,5,Yemen,0.2667,2020/05
0,35,2020,3,Zambia,0.0,2020/03
3,62,2020,4,Zambia,0.0484,2020/04
1,70,2020,5,Zambia,0.0143,2020/05
1,8,2020,3,Zimbabwe,0.125,2020/03
3,24,2020,4,Zimbabwe,0.125,2020/04
0,2,2020,5,Zimbabwe,0.0,2020/05
1,117,2020,3,"occupied Palestinian territory, including east Jerusalem",0.0085,2020/03
1,227,2020,4,"occupied Palestinian territory, including east Jerusalem",0.0044,2020/04
2,203,2020,5,"occupied Palestinian territory, including east Jerusalem",0.0099,2020/05
